"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content","ash.content.units","consumption.for.eg","consumption.for.eg.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto","consumption.uto.units","consumption.uto.btu","consumption.uto.btu.units","cost","cost.units","cost.per.btu","cost.per.btu.units","generation","generation.units","heat.content","heat.content.units","receipts","receipts.units","receipts.btu","receipts.btu.units","stocks","stocks.units","sulfur.content","sulfur.content.units","total.consumption","total.consumption.units","total.consumption.btu","total.consumption.btu.units"
"2021-11","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",18.57778,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2100.84519,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",18.57778,"million MMBtu"
"2021-11","CA","California",98,"Electric Power","NG","natural gas",0,"percent",49710.787,"thousand Mcf",51.34947,"million MMBtu",1743.193,"thousand Mcf",1.79926,"million MMBtu",6.72,"dollars per Mcf",6.5399,"dollars per million Btu",6955.64491,"thousand megawatthours",1.0329,"Btu per Mcf",45056.98,"thousand Mcf",46423.59748,"billion Btu",NA,"thousand Mcf",0,"percent",51453.98,"thousand Mcf",53.14873,"million MMBtu"
"2021-11","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",35.74674,"million MMBtu",0,"thousand physical units",0.34602,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",3883.59704,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",36.09276,"million MMBtu"
"2021-11","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",4.77996,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",540.53576,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",4.77996,"million MMBtu"
"2021-10","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",43.4869,"million MMBtu",0,"thousand physical units",0.34426,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",4749.07899,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",43.83116,"million MMBtu"
"2021-10","CA","California",98,"Electric Power","NG","natural gas",0,"percent",54670.614,"thousand Mcf",56.59099,"million MMBtu",1993.641,"thousand Mcf",2.06443,"million MMBtu",6.88,"dollars per Mcf",6.6818,"dollars per million Btu",7693.71331,"thousand megawatthours",1.0351,"Btu per Mcf",48740.244,"thousand Mcf",50346.22563,"billion Btu",NA,"thousand Mcf",0,"percent",56664.255,"thousand Mcf",58.65542,"million MMBtu"
"2021-10","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",8.08266,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",914.01691,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",8.08266,"million MMBtu"
"2021-10","CA","California",98,"Electric Power","SUN","solar",0,"percent",0,"thousand physical units",23.18866,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",2622.26211,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",23.18866,"million MMBtu"
"2021-09","CA","California",98,"Electric Power","NG","natural gas",0,"percent",60000.137,"thousand Mcf",62.09421,"million MMBtu",2126.97,"thousand Mcf",2.19457,"million MMBtu",6.75,"dollars per Mcf",6.5427,"dollars per million Btu",8189.96179,"thousand megawatthours",1.0348,"Btu per Mcf",52519.709,"thousand Mcf",54267.2443,"billion Btu",NA,"thousand Mcf",0,"percent",62127.107,"thousand Mcf",64.28878,"million MMBtu"
"2021-09","CA","California",98,"Electric Power","AOR","all renewables",0,"percent",0,"thousand physical units",51.60806,"million MMBtu",0,"thousand physical units",0.36124,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",5652.23414,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",51.9693,"million MMBtu"
"2021-09","CA","California",98,"Electric Power","WND","wind",0,"percent",0,"thousand physical units",10.73028,"million MMBtu",0,"thousand physical units",0,"million MMBtu",NA,"dollars per physical units",NA,"dollars per million Btu",1213.42063,"thousand megawatthours",0,"Btu per physical units",0,"thousand physical units",0,"billion Btu",NA,"thousand physical units",0,"percent",0,"thousand physical units",10.73028,"million MMBtu"
