"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto.btu","consumption.uto.btu.units","generation","generation.units","total.consumption.btu","total.consumption.btu.units","consumption_gwh","ratio"
2017-08-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",52.78606,"million MMBtu",0.35581,"million MMBtu",5527.48515,"thousand megawatthours",53.14187,"million MMBtu",15534.0163694826,2.81032258756636
2017-08-01,"CA","California",98,"Electric Power","WND","wind","percent",15.11479,"million MMBtu",0,"million MMBtu",1640.59389,"thousand megawatthours",15.11479,"million MMBtu",4418.23735749781,2.6930719323219
2017-07-01,"CA","California",98,"Electric Power","SUN","solar","percent",24.8703,"million MMBtu",0,"million MMBtu",2699.48008,"thousand megawatthours",24.8703,"million MMBtu",7269.89184448991,2.69307112075075
2017-07-01,"CA","California",98,"Electric Power","NG","natural gas","percent",66.11765,"million MMBtu",3.48584,"million MMBtu",8543.77711,"thousand megawatthours",69.60349,"million MMBtu",20345.9485530547,2.38137632701594
2017-07-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",52.3003,"million MMBtu",0.23233,"million MMBtu",5496.43884,"thousand megawatthours",52.53263,"million MMBtu",15355.9280912014,2.79379586277747
2017-07-01,"CA","California",98,"Electric Power","WND","wind","percent",13.0517,"million MMBtu",0,"million MMBtu",1416.6613,"thousand megawatthours",13.0517,"million MMBtu",3815.17100263081,2.69307208620071
2017-06-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",56.25886,"million MMBtu",0.1163,"million MMBtu",5901.58268,"thousand megawatthours",56.37516,"million MMBtu",16479.1464484069,2.79232662523791
2017-06-01,"CA","California",98,"Electric Power","WND","wind","percent",15.07873,"million MMBtu",0,"million MMBtu",1636.67987,"thousand megawatthours",15.07873,"million MMBtu",4407.69657994738,2.69307190779305
2017-06-01,"CA","California",98,"Electric Power","SUN","solar","percent",27.2054,"million MMBtu",0,"million MMBtu",2952.93686,"thousand megawatthours",27.2054,"million MMBtu",7952.47003800058,2.69307147935448
2017-06-01,"CA","California",98,"Electric Power","NG","natural gas","percent",47.61773,"million MMBtu",3.38195,"million MMBtu",6099.92685,"thousand megawatthours",50.99967,"million MMBtu",14907.8251973107,2.44393507723961
2017-05-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",54.0555,"million MMBtu",0.13215,"million MMBtu",5665.86771,"thousand megawatthours",54.18765,"million MMBtu",15839.7106109325,2.79563721245664
2017-05-01,"CA","California",98,"Electric Power","NG","natural gas","percent",33.24786,"million MMBtu",3.0036,"million MMBtu",4234.3269,"thousand megawatthours",36.25145,"million MMBtu",10596.740719088,2.50257974156128
2017-05-01,"CA","California",98,"Electric Power","WND","wind","percent",15.13974,"million MMBtu",0,"million MMBtu",1643.30278,"thousand megawatthours",15.13974,"million MMBtu",4425.53054662379,2.6930706869636
2017-05-01,"CA","California",98,"Electric Power","SUN","solar","percent",24.98069,"million MMBtu",0,"million MMBtu",2711.46011,"thousand megawatthours",24.98069,"million MMBtu",7302.1601870798,2.69307306426861
2017-04-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",44.7263,"million MMBtu",0.13467,"million MMBtu",4661.08641,"thousand megawatthours",44.86097,"million MMBtu",13113.4083601286,2.81338023083949
2017-04-01,"CA","California",98,"Electric Power","WND","wind","percent",11.15425,"million MMBtu",0,"million MMBtu",1210.7084,"thousand megawatthours",11.15425,"million MMBtu",3260.52323881906,2.69307063436502
2017-04-01,"CA","California",98,"Electric Power","SUN","solar","percent",19.76482,"million MMBtu",0,"million MMBtu",2145.31898,"thousand megawatthours",19.76482,"million MMBtu",5777.49780765858,2.69307168841557
2017-04-01,"CA","California",98,"Electric Power","NG","natural gas","percent",25.60797,"million MMBtu",2.8387,"million MMBtu",3323.70207,"thousand megawatthours",28.44667,"million MMBtu",8315.30838935984,2.50182122652162
2017-03-01,"CA","California",98,"Electric Power","SUN","solar","percent",18.63948,"million MMBtu",0,"million MMBtu",2023.17121,"thousand megawatthours",18.63948,"million MMBtu",5448.54720841859,2.6930727273539
2017-03-01,"CA","California",98,"Electric Power","NG","natural gas","percent",29.65891,"million MMBtu",3.05197,"million MMBtu",3806.45643,"thousand megawatthours",32.71088,"million MMBtu",9561.78895059924,2.51199222332862
2017-03-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",42.00856,"million MMBtu",0.40825,"million MMBtu",4355.78985,"thousand megawatthours",42.41681,"million MMBtu",12398.95059924,2.84654472006724
2017-03-01,"CA","California",98,"Electric Power","WND","wind","percent",8.77671,"million MMBtu",0,"million MMBtu",952.64389,"thousand megawatthours",8.77671,"million MMBtu",2565.53931598948,2.69307276614085
2017-02-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",29.52047,"million MMBtu",0.28748,"million MMBtu",3036.79181,"thousand megawatthours",29.80795,"million MMBtu",8713.22712657118,2.8692210963817
2017-02-01,"CA","California",98,"Electric Power","WND","wind","percent",6.907,"million MMBtu",0,"million MMBtu",749.7017,"thousand megawatthours",6.907,"million MMBtu",2019.00029231219,2.69307151405978
2017-02-01,"CA","California",98,"Electric Power","SUN","solar","percent",9.95567,"million MMBtu",0,"million MMBtu",1080.61114,"thousand megawatthours",9.95567,"million MMBtu",2910.16369482607,2.69307208403022
2017-02-01,"CA","California",98,"Electric Power","NG","natural gas","percent",36.58049,"million MMBtu",2.93028,"million MMBtu",4833.09194,"thousand megawatthours",39.51077,"million MMBtu",11549.4796843028,2.38966686909391
2017-01-01,"CA","California",98,"Electric Power","NG","natural gas","percent",50.88106,"million MMBtu",3.26977,"million MMBtu",6837.46144,"thousand megawatthours",54.15082,"million MMBtu",15828.9447529962,2.31503239790062
2017-01-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",30.53428,"million MMBtu",0.31168,"million MMBtu",3140.83565,"thousand megawatthours",30.84596,"million MMBtu",9016.65010230926,2.8707806160788
2017-01-01,"CA","California",98,"Electric Power","WND","wind","percent",7.5045,"million MMBtu",0,"million MMBtu",814.55499,"thousand megawatthours",7.5045,"million MMBtu",2193.65682548962,2.69307395132356
2017-01-01,"CA","California",98,"Electric Power","SUN","solar","percent",8.90644,"million MMBtu",0,"million MMBtu",966.7258,"thousand megawatthours",8.90644,"million MMBtu",2603.46097632271,2.69307075110927
2016-12-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",31.15001,"million MMBtu",0.35775,"million MMBtu",3200.13597,"thousand megawatthours",31.50776,"million MMBtu",9210.1023092663,2.8780346821533
2016-12-01,"CA","California",98,"Electric Power","WND","wind","percent",7.05627,"million MMBtu",0,"million MMBtu",764.32633,"thousand megawatthours",7.05627,"million MMBtu",2062.63373282666,2.69862969764061
2016-12-01,"CA","California",98,"Electric Power","SUN","solar","percent",9.53279,"million MMBtu",0,"million MMBtu",1032.58277,"thousand megawatthours",9.53279,"million MMBtu",2786.55071616486,2.69862213192349
2016-12-01,"CA","California",98,"Electric Power","NG","natural gas","percent",52.31198,"million MMBtu",3.60602,"million MMBtu",7013.7568,"thousand megawatthours",55.918,"million MMBtu",16345.5130078924,2.33049326829987
2016-11-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",31.40735,"million MMBtu",0.29767,"million MMBtu",3237.14814,"thousand megawatthours",31.70503,"million MMBtu",9267.76673487284,2.86294180373001
2016-11-01,"CA","California",98,"Electric Power","WND","wind","percent",4.87496,"million MMBtu",0,"million MMBtu",528.04985,"thousand megawatthours",4.87496,"million MMBtu",1425.01023092663,2.69862822785885
2016-11-01,"CA","California",98,"Electric Power","SUN","solar","percent",12.73683,"million MMBtu",0,"million MMBtu",1379.64003,"thousand megawatthours",12.73683,"million MMBtu",3723.13066354867,2.69862470107414
2016-11-01,"CA","California",98,"Electric Power","NG","natural gas","percent",46.85963,"million MMBtu",3.5728,"million MMBtu",6188.41067,"thousand megawatthours",50.43243,"million MMBtu",14742.0140309851,2.3821971128146
2016-10-01,"CA","California",98,"Electric Power","NG","natural gas","percent",61.68179,"million MMBtu",3.85418,"million MMBtu",8210.39063,"thousand megawatthours",65.53597,"million MMBtu",19156.9628763519,2.33325839654379
2016-10-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",37.69081,"million MMBtu",0.22943,"million MMBtu",3893.36269,"thousand megawatthours",37.92023,"million MMBtu",11084.5454545455,2.84703644050831
2016-10-01,"CA","California",98,"Electric Power","WND","wind","percent",8.62572,"million MMBtu",0,"million MMBtu",934.32783,"thousand megawatthours",8.62572,"million MMBtu",2521.40309850921,2.69862784512071
2016-10-01,"CA","California",98,"Electric Power","SUN","solar","percent",14.75091,"million MMBtu",0,"million MMBtu",1597.8026,"thousand megawatthours",14.75091,"million MMBtu",4311.87079801228,2.69862547351736
2016-09-01,"CA","California",98,"Electric Power","SUN","solar","percent",17.52625,"million MMBtu",0,"million MMBtu",1898.42606,"thousand megawatthours",17.52625,"million MMBtu",5123.13650979246,2.6986231477419
2016-09-01,"CA","California",98,"Electric Power","NG","natural gas","percent",62.90662,"million MMBtu",3.68918,"million MMBtu",8291.63848,"thousand megawatthours",66.5958,"million MMBtu",19466.7641040631,2.34775842567405
2016-09-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",41.05224,"million MMBtu",0.40645,"million MMBtu",4259.0333,"thousand megawatthours",41.45869,"million MMBtu",12118.8804443145,2.84545332019699
2016-09-01,"CA","California",98,"Electric Power","WND","wind","percent",9.19058,"million MMBtu",0,"million MMBtu",995.51311,"thousand megawatthours",9.19058,"million MMBtu",2686.51856182403,2.69862700434355
2016-08-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",48.28519,"million MMBtu",0.25073,"million MMBtu",5009.54932,"thousand megawatthours",48.53592,"million MMBtu",14187.6410406314,2.83211924553552
2016-08-01,"CA","California",98,"Electric Power","WND","wind","percent",13.57381,"million MMBtu",0,"million MMBtu",1470.29988,"thousand megawatthours",13.57381,"million MMBtu",3967.790119848,2.69862643248532
2016-08-01,"CA","California",98,"Electric Power","SUN","solar","percent",19.66764,"million MMBtu",0,"million MMBtu",2130.37676,"thousand megawatthours",19.66764,"million MMBtu",5749.09090909091,2.69862637306037
2016-08-01,"CA","California",98,"Electric Power","NG","natural gas","percent",77.59775,"million MMBtu",4.31929,"million MMBtu",10095.88209,"thousand megawatthours",81.91704,"million MMBtu",23945.3493130664,2.37179367781883
2016-07-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",50.2736,"million MMBtu",0.34851,"million MMBtu",5247.32984,"thousand megawatthours",50.6221,"million MMBtu",14797.4568839521,2.81999747207659
2016-07-01,"CA","California",98,"Electric Power","WND","wind","percent",15.65643,"million MMBtu",0,"million MMBtu",1695.88747,"thousand megawatthours",15.65643,"million MMBtu",4576.56533177433,2.69862559440594
2016-07-01,"CA","California",98,"Electric Power","SUN","solar","percent",19.86609,"million MMBtu",0,"million MMBtu",2151.87258,"thousand megawatthours",19.86609,"million MMBtu",5807.10026308097,2.69862645077292
2016-07-01,"CA","California",98,"Electric Power","NG","natural gas","percent",70.35224,"million MMBtu",4.08576,"million MMBtu",9075.83924,"thousand megawatthours",74.438,"million MMBtu",21759.1347559193,2.39747908491153
2016-06-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",46.27818,"million MMBtu",0.35745,"million MMBtu",4834.62333,"thousand megawatthours",46.63563,"million MMBtu",13632.1631102017,2.81969497512057
2016-06-01,"CA","California",98,"Electric Power","WND","wind","percent",15.40817,"million MMBtu",0,"million MMBtu",1668.99504,"thousand megawatthours",15.40817,"million MMBtu",4503.99590762935,2.69862749719696
2016-06-01,"CA","California",98,"Electric Power","SUN","solar","percent",16.96862,"million MMBtu",0,"million MMBtu",1838.02255,"thousand megawatthours",16.96862,"million MMBtu",4960.13446360713,2.69862546768381
2016-06-01,"CA","California",98,"Electric Power","NG","natural gas","percent",59.5909,"million MMBtu",3.84912,"million MMBtu",7616.85107,"thousand megawatthours",63.44002,"million MMBtu",18544.2911429407,2.43464011210353
2016-05-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",46.22998,"million MMBtu",0.32542,"million MMBtu",4849.76997,"thousand megawatthours",46.55541,"million MMBtu",13608.7138263666,2.80605346450412
2016-05-01,"CA","California",98,"Electric Power","WND","wind","percent",14.71898,"million MMBtu",0,"million MMBtu",1594.343,"thousand megawatthours",14.71898,"million MMBtu",4302.53726980415,2.69862712716407
2016-05-01,"CA","California",98,"Electric Power","SUN","solar","percent",17.63876,"million MMBtu",0,"million MMBtu",1910.61013,"thousand megawatthours",17.63876,"million MMBtu",5156.02455422391,2.69862724648273
2016-05-01,"CA","California",98,"Electric Power","NG","natural gas","percent",36.82876,"million MMBtu",3.47503,"million MMBtu",4829.07548,"thousand megawatthours",40.30379,"million MMBtu",11781.2890967553,2.43965726888065
2016-04-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",39.32845,"million MMBtu",0.27613,"million MMBtu",4072.15406,"thousand megawatthours",39.60457,"million MMBtu",11576.8985676703,2.84294218663973
2016-04-01,"CA","California",98,"Electric Power","WND","wind","percent",12.22309,"million MMBtu",0,"million MMBtu",1323.99167,"thousand megawatthours",12.22309,"million MMBtu",3572.95819935691,2.69862589041585
2016-04-01,"CA","California",98,"Electric Power","SUN","solar","percent",14.16371,"million MMBtu",0,"million MMBtu",1534.19736,"thousand megawatthours",14.16371,"million MMBtu",4140.22508038585,2.69862612746632
2016-04-01,"CA","California",98,"Electric Power","NG","natural gas","percent",33.80746,"million MMBtu",3.48104,"million MMBtu",4410.30343,"thousand megawatthours",37.28849,"million MMBtu",10899.8801520023,2.47145810373468
2016-03-01,"CA","California",98,"Electric Power","WND","wind","percent",12.03911,"million MMBtu",0,"million MMBtu",1304.06275,"thousand megawatthours",12.03911,"million MMBtu",3519.17860274773,2.698626736135
2016-03-01,"CA","California",98,"Electric Power","NG","natural gas","percent",36.08296,"million MMBtu",3.37056,"million MMBtu",4660.69324,"thousand megawatthours",39.45352,"million MMBtu",11532.7448114586,2.47446983047068
2016-03-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",37.44477,"million MMBtu",0.49177,"million MMBtu",3884.91574,"thousand megawatthours",37.93653,"million MMBtu",11089.310143233,2.85445319419797
2016-03-01,"CA","California",98,"Electric Power","SUN","solar","percent",12.06345,"million MMBtu",0,"million MMBtu",1306.69967,"thousand megawatthours",12.06345,"million MMBtu",3526.29348143818,2.69862582994161
2016-02-01,"CA","California",98,"Electric Power","NG","natural gas","percent",46.79459,"million MMBtu",3.49572,"million MMBtu",6209.98395,"thousand megawatthours",50.29031,"million MMBtu",14700.470622625,2.36723166130324
2016-02-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",28.83762,"million MMBtu",0.46564,"million MMBtu",2951.72702,"thousand megawatthours",29.30325,"million MMBtu",8565.69716457176,2.90192728071845
2016-02-01,"CA","California",98,"Electric Power","WND","wind","percent",4.86956,"million MMBtu",0,"million MMBtu",527.46514,"thousand megawatthours",4.86956,"million MMBtu",1423.43174510377,2.69862714549017
2016-02-01,"CA","California",98,"Electric Power","SUN","solar","percent",10.95212,"million MMBtu",0,"million MMBtu",1186.32099,"thousand megawatthours",10.95212,"million MMBtu",3201.43817597194,2.69862727116709
2016-01-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",26.50735,"million MMBtu",0.42578,"million MMBtu",2689.51788,"thousand megawatthours",26.93313,"million MMBtu",7872.88219818766,2.92724664771058
2016-01-01,"CA","California",98,"Electric Power","WND","wind","percent",6.37278,"million MMBtu",0,"million MMBtu",690.29263,"thousand megawatthours",6.37278,"million MMBtu",1862.84127448115,2.69862547204241
2016-01-01,"CA","California",98,"Electric Power","SUN","solar","percent",6.55901,"million MMBtu",0,"million MMBtu",710.46401,"thousand megawatthours",6.55901,"million MMBtu",1917.27857351652,2.69862870818258
2016-01-01,"CA","California",98,"Electric Power","NG","natural gas","percent",59.01552,"million MMBtu",4.15257,"million MMBtu",7873.58296,"thousand megawatthours",63.16809,"million MMBtu",18464.8026892721,2.34515884103571
2015-12-01,"CA","California",98,"Electric Power","SUN","solar","percent",8.11072,"million MMBtu",0,"million MMBtu",870.34179,"thousand megawatthours",8.11072,"million MMBtu",2370.86232095878,2.72405892512502
2015-12-01,"CA","California",98,"Electric Power","NG","natural gas","percent",61.86948,"million MMBtu",3.33833,"million MMBtu",8235.5136,"thousand megawatthours",65.20781,"million MMBtu",19061.0377082724,2.3144928943196
2015-12-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.14493,"million MMBtu",0.3153,"million MMBtu",3204.10618,"thousand megawatthours",32.46023,"million MMBtu",9488.52090032154,2.9613628161104
2015-12-01,"CA","California",98,"Electric Power","WND","wind","percent",8.53821,"million MMBtu",0,"million MMBtu",916.21513,"thousand megawatthours",8.53821,"million MMBtu",2495.82285881321,2.72405767716716
2015-11-01,"CA","California",98,"Electric Power","NG","natural gas","percent",58.27505,"million MMBtu",3.03784,"million MMBtu",7682.45851,"thousand megawatthours",61.31288,"million MMBtu",17922.5021923414,2.33291233125598
2015-11-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",29.91343,"million MMBtu",0.28091,"million MMBtu",2995.0974,"thousand megawatthours",30.19435,"million MMBtu",8826.17655656241,2.94687463471552
2015-11-01,"CA","California",98,"Electric Power","WND","wind","percent",5.7634,"million MMBtu",0,"million MMBtu",618.45716,"thousand megawatthours",5.7634,"million MMBtu",1684.71207249342,2.72405621836996
2015-11-01,"CA","California",98,"Electric Power","SUN","solar","percent",9.71957,"million MMBtu",0,"million MMBtu",1042.98368,"thousand megawatthours",9.71957,"million MMBtu",2841.14878690441,2.72405871864113
2015-10-01,"CA","California",98,"Electric Power","SUN","solar","percent",10.46718,"million MMBtu",0,"million MMBtu",1123.20847,"thousand megawatthours",10.46718,"million MMBtu",3059.68430283543,2.72405736295367
2015-10-01,"CA","California",98,"Electric Power","NG","natural gas","percent",82.52666,"million MMBtu",3.72477,"million MMBtu",10667.87519,"thousand megawatthours",86.25143,"million MMBtu",25212.3443437591,2.36338951241134
2015-10-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",31.37628,"million MMBtu",0.12574,"million MMBtu",3153.8796,"thousand megawatthours",31.50201,"million MMBtu",9208.42151417714,2.91971244373981
2015-10-01,"CA","California",98,"Electric Power","WND","wind","percent",6.20711,"million MMBtu",0,"million MMBtu",666.06999,"thousand megawatthours",6.20711,"million MMBtu",1814.41391406022,2.72405894470672
2015-09-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",34.1807,"million MMBtu",0.43652,"million MMBtu",3439.28883,"thousand megawatthours",34.61721,"million MMBtu",10119.032446653,2.94218745410022
2015-09-01,"CA","California",98,"Electric Power","WND","wind","percent",7.59286,"million MMBtu",0,"million MMBtu",814.77159,"thousand megawatthours",7.59286,"million MMBtu",2219.48553054662,2.72405856780871
2015-09-01,"CA","California",98,"Electric Power","SUN","solar","percent",12.36055,"million MMBtu",0,"million MMBtu",1326.38145,"thousand megawatthours",12.36055,"million MMBtu",3613.13943291435,2.72405757251381
2015-09-01,"CA","California",98,"Electric Power","NG","natural gas","percent",86.87971,"million MMBtu",3.72866,"million MMBtu",11062.55954,"thousand megawatthours",90.60837,"million MMBtu",26485.9310143233,2.39419556735993
2015-08-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",45.28119,"million MMBtu",0.27015,"million MMBtu",4616.6582,"thousand megawatthours",45.55134,"million MMBtu",13315.2119263373,2.88416671746185
2015-08-01,"CA","California",98,"Electric Power","WND","wind","percent",14.18326,"million MMBtu",0,"million MMBtu",1521.97206,"thousand megawatthours",14.18326,"million MMBtu",4145.93978368898,2.7240577489241
2015-08-01,"CA","California",98,"Electric Power","SUN","solar","percent",14.91791,"million MMBtu",0,"million MMBtu",1600.80599,"thousand megawatthours",14.91791,"million MMBtu",4360.68693364513,2.72405710678602
2015-08-01,"CA","California",98,"Electric Power","NG","natural gas","percent",88.13448,"million MMBtu",3.8912,"million MMBtu",11130.69684,"thousand megawatthours",92.02568,"million MMBtu",26900.2280035077,2.41676045895324
2015-07-01,"CA","California",98,"Electric Power","SUN","solar","percent",14.62696,"million MMBtu",0,"million MMBtu",1569.58322,"thousand megawatthours",14.62696,"million MMBtu",4275.63870213388,2.7240598954249
2015-07-01,"CA","California",98,"Electric Power","NG","natural gas","percent",82.80334,"million MMBtu",3.85211,"million MMBtu",10521.68279,"thousand megawatthours",86.65544,"million MMBtu",25330.441391406,2.40745153574488
2015-07-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",44.50888,"million MMBtu",0.26006,"million MMBtu",4527.23409,"thousand megawatthours",44.76893,"million MMBtu",13086.5039462146,2.89061791064013
2015-07-01,"CA","California",98,"Electric Power","WND","wind","percent",13.45776,"million MMBtu",0,"million MMBtu",1444.12102,"thousand megawatthours",13.45776,"million MMBtu",3933.867290266,2.7240565269703
2015-06-01,"CA","California",98,"Electric Power","SUN","solar","percent",14.01967,"million MMBtu",0,"million MMBtu",1504.41814,"thousand megawatthours",14.01967,"million MMBtu",4098.12043262204,2.7240567789365
2015-06-01,"CA","California",98,"Electric Power","NG","natural gas","percent",72.32623,"million MMBtu",3.63717,"million MMBtu",9276.25478,"thousand megawatthours",75.9634,"million MMBtu",22205.027769658,2.39374923353043
2015-06-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",45.53965,"million MMBtu",0.21123,"million MMBtu",4646.03566,"thousand megawatthours",45.75087,"million MMBtu",13373.536977492,2.8784834977982
2015-06-01,"CA","California",98,"Electric Power","WND","wind","percent",15.53613,"million MMBtu",0,"million MMBtu",1667.14488,"thousand megawatthours",15.53613,"million MMBtu",4541.40017538731,2.72405849657608
2015-05-01,"CA","California",98,"Electric Power","SUN","solar","percent",13.5486,"million MMBtu",0,"million MMBtu",1453.86869,"thousand megawatthours",13.5486,"million MMBtu",3960.42092955276,2.72405682630992
2015-05-01,"CA","California",98,"Electric Power","NG","natural gas","percent",49.28564,"million MMBtu",3.22108,"million MMBtu",6468.89018,"thousand megawatthours",52.50672,"million MMBtu",15348.3542823736,2.37264103351552
2015-05-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",45.10924,"million MMBtu",0.30667,"million MMBtu",4607.94711,"thousand megawatthours",45.4159,"million MMBtu",13275.6211634025,2.88102724412618
2015-05-01,"CA","California",98,"Electric Power","WND","wind","percent",15.65479,"million MMBtu",0,"million MMBtu",1679.87957,"thousand megawatthours",15.65479,"million MMBtu",4576.08593978369,2.72405595109636
2015-04-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",38.95451,"million MMBtu",0.21402,"million MMBtu",3968.66646,"thousand megawatthours",39.16853,"million MMBtu",11449.4387605963,2.88495868221597
2015-04-01,"CA","California",98,"Electric Power","WND","wind","percent",11.74958,"million MMBtu",0,"million MMBtu",1260.82008,"thousand megawatthours",11.74958,"million MMBtu",3434.54545454545,2.72405675403381
2015-04-01,"CA","California",98,"Electric Power","SUN","solar","percent",13.13115,"million MMBtu",0,"million MMBtu",1409.07307,"thousand megawatthours",13.13115,"million MMBtu",3838.39520608009,2.72405689087514
2015-04-01,"CA","California",98,"Electric Power","NG","natural gas","percent",51.32882,"million MMBtu",3.00048,"million MMBtu",6673.74834,"thousand megawatthours",54.3293,"million MMBtu",15881.1166325636,2.3796397202121
2015-03-01,"CA","California",98,"Electric Power","NG","natural gas","percent",52.99631,"million MMBtu",2.8799,"million MMBtu",6957.90474,"thousand megawatthours",55.87622,"million MMBtu",16333.3002046185,2.34744521733974
2015-03-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",34.80245,"million MMBtu",0.22192,"million MMBtu",3515.47706,"thousand megawatthours",35.02437,"million MMBtu",10238.0502776966,2.91227907420809
2015-03-01,"CA","California",98,"Electric Power","WND","wind","percent",7.69141,"million MMBtu",0,"million MMBtu",825.34686,"thousand megawatthours",7.69141,"million MMBtu",2248.2928968138,2.72405821815787
2015-03-01,"CA","California",98,"Electric Power","SUN","solar","percent",11.62342,"million MMBtu",0,"million MMBtu",1247.28132,"thousand megawatthours",11.62342,"million MMBtu",3397.66734872844,2.72405855378997
2015-02-01,"CA","California",98,"Electric Power","WND","wind","percent",5.76184,"million MMBtu",0,"million MMBtu",618.28958,"thousand megawatthours",5.76184,"million MMBtu",1684.25606547793,2.72405701140545
2015-02-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",28.16878,"million MMBtu",0.37223,"million MMBtu",2823.86085,"thousand megawatthours",28.541,"million MMBtu",8342.88219818766,2.95442397531297
2015-02-01,"CA","California",98,"Electric Power","NG","natural gas","percent",45.47432,"million MMBtu",2.62033,"million MMBtu",5937.51605,"thousand megawatthours",48.09464,"million MMBtu",14058.6495176849,2.36776614990117
2015-02-01,"CA","California",98,"Electric Power","SUN","solar","percent",8.26975,"million MMBtu",0,"million MMBtu",887.40765,"thousand megawatthours",8.26975,"million MMBtu",2417.34872844198,2.7240566705076
2015-01-01,"CA","California",98,"Electric Power","SUN","solar","percent",6.29749,"million MMBtu",0,"million MMBtu",675.76793,"thousand megawatthours",6.29749,"million MMBtu",1840.83308973984,2.72406103932728
2015-01-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",23.99062,"million MMBtu",0.39555,"million MMBtu",2347.86917,"thousand megawatthours",24.38617,"million MMBtu",7128.37474422683,3.03610390021299
2015-01-01,"CA","California",98,"Electric Power","NG","natural gas","percent",61.57485,"million MMBtu",3.33859,"million MMBtu",8155.06662,"thousand megawatthours",64.91344,"million MMBtu",18974.9897690734,2.32677311581219
2015-01-01,"CA","California",98,"Electric Power","WND","wind","percent",1.74329,"million MMBtu",0,"million MMBtu",187.06862,"thousand megawatthours",1.74329,"million MMBtu",509.584916691026,2.72405343392722
2014-12-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",27.03427,"million MMBtu",0.35904,"million MMBtu",2628.31396,"thousand megawatthours",27.39331,"million MMBtu",8007.39842151418,3.04659129136695
2014-12-01,"CA","California",98,"Electric Power","WND","wind","percent",5.37914,"million MMBtu",0,"million MMBtu",565.62924,"thousand megawatthours",5.37914,"million MMBtu",1572.38819058755,2.77989198469928
2014-12-01,"CA","California",98,"Electric Power","SUN","solar","percent",5.68155,"million MMBtu",0,"million MMBtu",597.42874,"thousand megawatthours",5.68155,"million MMBtu",1660.78631978953,2.77989023392068
2014-12-01,"CA","California",98,"Electric Power","NG","natural gas","percent",64.88983,"million MMBtu",3.59846,"million MMBtu",8503.0267,"thousand megawatthours",68.4883,"million MMBtu",20019.9649225373,2.35445161221677
2014-11-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",29.97812,"million MMBtu",0.26762,"million MMBtu",2950.97986,"thousand megawatthours",30.24573,"million MMBtu",8841.19555685472,2.99602029708692
2014-11-01,"CA","California",98,"Electric Power","WND","wind","percent",6.69859,"million MMBtu",0,"million MMBtu",704.37315,"thousand megawatthours",6.69859,"million MMBtu",1958.07950891552,2.77988947891543
2014-11-01,"CA","California",98,"Electric Power","SUN","solar","percent",7.6031,"million MMBtu",0,"million MMBtu",799.48461,"thousand megawatthours",7.6031,"million MMBtu",2222.47880736627,2.7798894182169
2014-11-01,"CA","California",98,"Electric Power","NG","natural gas","percent",60.03136,"million MMBtu",3.31579,"million MMBtu",7848.71862,"thousand megawatthours",63.34715,"million MMBtu",18517.1441099094,2.35925697001345
2014-10-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.76892,"million MMBtu",0.41464,"million MMBtu",3227.82893,"thousand megawatthours",33.18355,"million MMBtu",9699.95615317158,3.00510230360058
2014-10-01,"CA","California",98,"Electric Power","WND","wind","percent",7.20961,"million MMBtu",0,"million MMBtu",758.10817,"thousand megawatthours",7.20961,"million MMBtu",2107.45688395206,2.77988942389588
