"period","location","stateDescription","sectorid","sectorDescription","fueltypeid","fuelTypeDescription","ash.content.units","consumption.for.eg.btu","consumption.for.eg.btu.units","consumption.uto.btu","consumption.uto.btu.units","generation","generation.units","total.consumption.btu","total.consumption.btu.units","consumption_gwh","ratio"
2004-07-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.81823,"million MMBtu",0,"million MMBtu",81.643,"thousand megawatthours",0.81823,"million MMBtu",239.178602747735,2.92956656109813
2004-07-01,"CA","California",98,"Electric Power","NG","natural gas","percent",79.30766,"million MMBtu",7.21022,"million MMBtu",9242.27576,"thousand megawatthours",86.51788,"million MMBtu",25290.2309266296,2.73636402801182
2004-06-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.88069,"million MMBtu",0,"million MMBtu",87.876,"thousand megawatthours",0.88069,"million MMBtu",257.436422098801,2.92954187831491
2004-06-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",36.59536,"million MMBtu",0.10712,"million MMBtu",2251.34813,"thousand megawatthours",36.70248,"million MMBtu",10728.5822858813,4.76540351219752
2004-06-01,"CA","California",98,"Electric Power","NG","natural gas","percent",51.45783,"million MMBtu",6.63165,"million MMBtu",5967.55872,"thousand megawatthours",58.08947,"million MMBtu",16980.2601578486,2.84542824873093
2004-06-01,"CA","California",98,"Electric Power","WND","wind","percent",6.84148,"million MMBtu",0,"million MMBtu",682.64611,"thousand megawatthours",6.84148,"million MMBtu",1999.8479976615,2.92955305591868
2004-05-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",35.06363,"million MMBtu",0.0957,"million MMBtu",2135.90098,"thousand megawatthours",35.15933,"million MMBtu",10277.5007307805,4.81178707581307
2004-05-01,"CA","California",98,"Electric Power","WND","wind","percent",6.35183,"million MMBtu",0,"million MMBtu",633.78893,"thousand megawatthours",6.35183,"million MMBtu",1856.71733411283,2.92955153715423
2004-05-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.81207,"million MMBtu",0,"million MMBtu",81.029,"thousand megawatthours",0.81207,"million MMBtu",237.377959660918,2.92954324576285
2004-05-01,"CA","California",98,"Electric Power","NG","natural gas","percent",51.12675,"million MMBtu",6.85704,"million MMBtu",6019.59322,"thousand megawatthours",57.98379,"million MMBtu",16949.3686056709,2.81569999603243
2004-04-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",31.65702,"million MMBtu",0.05117,"million MMBtu",1839.5097,"thousand megawatthours",31.7082,"million MMBtu",9268.6933645133,5.03867599312648
2004-04-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.56552,"million MMBtu",0,"million MMBtu",56.428,"thousand megawatthours",0.56552,"million MMBtu",165.308389359836,2.92954542709003
2004-04-01,"CA","California",98,"Electric Power","WND","wind","percent",4.00201,"million MMBtu",0,"million MMBtu",399.32277,"thousand megawatthours",4.00201,"million MMBtu",1169.83630517393,2.92955071200655
2004-04-01,"CA","California",98,"Electric Power","NG","natural gas","percent",52.02911,"million MMBtu",6.73927,"million MMBtu",6415.43434,"thousand megawatthours",58.76838,"million MMBtu",17178.7138263666,2.67771641262976
2004-03-01,"CA","California",98,"Electric Power","AOR","all renewables","percent",32.36904,"million MMBtu",0.06075,"million MMBtu",1820.56985,"thousand megawatthours",32.4298,"million MMBtu",9479.62584039754,5.20695530599803
2004-03-01,"CA","California",98,"Electric Power","WND","wind","percent",2.88386,"million MMBtu",0,"million MMBtu",287.75292,"thousand megawatthours",2.88386,"million MMBtu",842.987430575855,2.92955300184566
2004-03-01,"CA","California",98,"Electric Power","SUN","solar","percent",0.52629,"million MMBtu",0,"million MMBtu",52.513,"thousand megawatthours",0.52629,"million MMBtu",153.840982168956,2.92957900270326
2004-03-01,"CA","California",98,"Electric Power","NG","natural gas","percent",55.5012,"million MMBtu",6.61168,"million MMBtu",6643.54572,"thousand megawatthours",62.11288,"million MMBtu",18156.3519438761,2.7329309843112
2004-02-01,"CA","California",98,"Electric Power","WND","wind","percent",2.02609,"million MMBtu",0,"million MMBtu",202.16472,"thousand megawatthours",2.02609,"million MMBtu",592.250803858521,2.92954578750694
