end_time,artist_name,track_name,ms_played,id
2021-02-18 05:19,Harry Styles,Sign of the Times,4245,5Ohxk2dO5COHF1krpoPigN
2021-02-18 05:19,Bruno Mars,Gorilla,1877,32B4HyegZNlYIWhENs8FcZ
2021-02-18 05:19,Clairo,Softly,35946,0Q0IVlqMV64kNLlwjPj0Hl
2021-02-18 05:19,FINNEAS,Let's Fall in Love for the Night,11786,7kQkmyoHCEqwe7QwDbkSXM
2021-02-18 05:19,Maroon 5,How,19936,5fVZC9GiM4e8vu99W0Xf6J
2021-02-18 05:19,Jason Mraz,Have It All,2026,7BXW1QCg56yzEBV8pW8pah
2021-02-18 05:20,Olivia O'Brien,Better Than Feeling Lonely,33525,0n1SCmuSFEqRQxXvlxCNBy
2021-02-18 05:23,MKTO,Superstitious,192973,4zLtSdtOuy5gfRo22BCqmc
2021-02-18 05:23,Khalid,Salem's Interlude,23347,0v75ti1d2M6pd0sC42UNNN
2021-02-18 05:25,ZAYN,When Love's Around (feat. Syd),78016,6bL1Rqcx1RXG6VsMmrYN8F
2021-02-18 12:06,Taylor Swift,"no body, no crime (feat. HAIM)",215626,3RaT22zZsxVYxxKR7TAaYF
2021-02-18 12:09,Bruno Mars,Finesse,191000,2WP8G2pdddDmnh1xbfKBOI
2021-02-18 12:12,One Direction,End of the Day,194973,0BbvSCBpxz2yjPXINwFWOw
2021-02-18 12:55,Keane,Somewhere Only We Know,11133,0ll8uFnc0nANY35E0Lfxvg
2021-02-18 20:34,Bruno Mars,Young Girls,28257,3G5iN5QBqMeXx3uZPy8tgB
2021-02-18 20:34,Taylor Swift,"no body, no crime (feat. HAIM)",215626,3RaT22zZsxVYxxKR7TAaYF
2021-02-18 20:35,ZAYN,fOoL fOr YoU,24533,3pEGNvJWWAfDSuUrQjEpEV
2021-02-18 20:35,Sigala,Somebody,12565,4wCmqSrbyCgxEXROQE6vtV
2021-02-18 20:35,Shawn Mendes,Act Like You Love Me,7573,4hTpxQ2ddv12Owtz2GnOAz
2021-02-18 20:40,Christina Perri,A Thousand Years,285120,6lanRgr6wXibZr8KgzXxBl
2021-02-18 20:44,Dua Lipa,Levitating (feat. DaBaby),203064,5nujrmhLynf4yMoMtj8AQF
2021-02-18 20:48,Taylor Swift,cowboy like me,275040,1XjHRolIXL2M1EEOUsGGR4
2021-02-18 20:52,Astrid S,Such A Boy,210680,3oIhthYPSKwAwJLA8JClkV
2021-02-18 20:55,Bruno Mars,Finesse,191000,2WP8G2pdddDmnh1xbfKBOI
2021-02-18 20:59,Jessie J,Bang Bang,6911,2qLSXZuIHMsKydCEFDchc3
2021-02-18 20:59,One Direction,End of the Day,7279,0BbvSCBpxz2yjPXINwFWOw
2021-02-18 20:59,Taylor Swift,long story short,215920,2o2sgVJIgFXk8GQjWTgI6U
2021-02-18 21:03,Bruno Mars,The Other Side (feat. CeeLo Green and B.o.B),227760,0HasfWMrNxTjycDy9TkRtA
2021-02-18 21:05,Bruno Mars,Moonshine,157628,05DejmhRYCktQogzOVX1H9
2021-02-18 21:06,Travie McCoy,Rough Water (feat. Jason Mraz),6357,56z8UyE4foPVnSrER7lVR5
2021-02-18 21:06,Justin Bieber,Beauty And A Beat,3893,190jyVPHYjAqEaOGmMzdyk
2021-02-18 21:09,Dua Lipa,Don't Start Now,183290,6o6urrgOIVbIzzmO4KJHCO
2021-02-18 21:12,Bruno Mars,Treasure,178560,55h7vJchibLdUkxdlX3fK7
2021-02-18 21:15,Drax Project,Woke Up Late (feat. Hailee Steinfeld),181826,4oPWkP9zQ5ANBbfdHGOvKF
2021-02-18 21:19,Sam Smith,Diamonds,204394,1z9kQ14XBSN0r2v6fx4IdG
2021-02-18 22:44,FINNEAS,American Cliché,203389,2IFioAFD8QEIq17UwOaSFb
2021-02-18 22:47,Miike Snow,Change Your Mind,208653,06Nak3IpaRtZKS27DYoHmt
2021-02-18 22:54,311,Amber,211080,0Fs9cdPDhptWEDJmiCbkEW
2021-02-18 22:57,CVBZ,Louder,193961,4Aw8n6r2vuU0KUo1a2nftp
2021-02-18 23:00,Supertramp,Breakfast In America - 2010 Remastered,159346,4a5pNRjwmzYQuEY1E7O6pj
2021-02-18 23:03,ZAYN,Entertainer,202600,4By48hpAtUx7F7F1yxvwvm
2021-02-18 23:06,ZAYN,Vibez,163127,0fySG6A6qLE8IvDpayb5bM
2021-02-18 23:06,Anna of the North,Dream Girl,1130,59bY27SZQ4r25o02vqOhgC
2021-02-18 23:06,Dua Lipa,Levitating (feat. DaBaby),12765,5nujrmhLynf4yMoMtj8AQF
2021-02-18 23:07,Taylor Swift,august,1676,3hUxzQpSfdDqwM3ZTFQY0K
2021-02-18 23:07,Taylor Swift,august,14512,3hUxzQpSfdDqwM3ZTFQY0K
2021-02-18 23:11,Taylor Swift,dorothea,225880,670fUmXf4KQekzbEgaXyPA
2021-02-18 23:13,ZAYN,Vibez,163127,0fySG6A6qLE8IvDpayb5bM
2021-02-18 23:17,Sia,"Audio (feat. Sia, Diplo, and Labrinth)",204093,100eDEmpWV5YGVCqHI0leU
2021-02-18 23:20,ZAYN,Better,174517,6f5ExP43esnvdKPddwKXJH
2021-02-18 23:22,Supertramp,Breakfast In America - 2010 Remastered,159347,4a5pNRjwmzYQuEY1E7O6pj
2021-02-18 23:27,Taylor Swift,cowboy like me,275040,1XjHRolIXL2M1EEOUsGGR4
2021-02-18 23:45,ROLE MODEL,blind,72004,0VjIjW4GlUZAMYd2vXMi3b
2021-02-19 01:19,PUBLIC,Make You Mine,3829,5iFwAOB2TFkPJk8sMlxP8g
2021-02-19 01:21,FINNEAS,American Cliché,5247,2IFioAFD8QEIq17UwOaSFb
2021-02-19 04:25,PUBLIC,Make You Mine,232907,5iFwAOB2TFkPJk8sMlxP8g
2021-02-19 04:29,The Weeknd,Save Your Tears,215627,5QO79kh1waicV47BqGRL3g
2021-02-19 04:31,Selena Gomez,Me & The Rhythm,125576,7fBUnDgtSvYpYWuX4iAfns
2021-02-19 04:35,FINNEAS,American Cliché,203389,2IFioAFD8QEIq17UwOaSFb
2021-02-19 04:38,Lorde,Perfect Places,221874,7ARveOiD31w2Nq0n5FsSf8
2021-02-19 04:42,Taylor Swift,Eyes Open,244587,69Kzq3FMkDwiSFBQzRckFD
2021-02-19 04:48,Phil Collins,In The Air Tonight - 2015 Remastered,336453,18AXbzPzBS8Y3AkgSxzJPb
2021-02-19 05:11,Taylor Swift,long story short,69499,2o2sgVJIgFXk8GQjWTgI6U
2021-02-19 12:09,PUBLIC,Make You Mine,19467,5iFwAOB2TFkPJk8sMlxP8g
2021-02-19 12:11,Ariana Grande,test drive,122174,1DMEzmAoQIikcL52psptQL
2021-02-19 12:12,Trippie Redd,PILL BREAKER (feat. blackbear & Machine Gun Kelly),20900,7jjnn6K7p5MgOFuqLypAcM
2021-02-19 12:12,24kGoldn,"3, 2, 1",12080,2hx8cZug1bgRMXgW5RCTUV
2021-02-19 12:12,Taylor Swift,Safe & Sound - from The Hunger Games Soundtrack,18840,0z9UVN8VBHJ9HdfYsOuuNf
2021-02-19 12:15,Conan Gray,Overdrive,183070,3QyoC6OvQUmpQwQZ18iaTs
2021-02-19 12:16,HAIM,Gasoline (feat. Taylor Swift),23129,645Exr2lJIO45Guht3qyIa
2021-02-19 12:16,Alan Walker,Fake A Smile,13240,3wFLWP0FcIqHK1wb1CPthQ
2021-02-19 12:16,Lil Yachty,Hit Bout It,1350,6SN1H9p6A0UbsNpfkxEEX6
2021-02-19 12:16,SG Lewis,Fall,240,5SkRLpaGtvYPhw02vZhQQ9
2021-02-19 12:16,SG Lewis,Fall,13710,5SkRLpaGtvYPhw02vZhQQ9
2021-02-19 12:16,NF,CLOUDS - Edit,7460,4eL4EOrlxrKK9TmyVjueXd
2021-02-19 12:16,Chris Brown,"Go Crazy (Remix) (feat. Young Thug, Future, Lil Durk & Latto)",13170,1Jz1yhcPm1Yt6aoed3zact
2021-02-19 12:16,Paris Texas,HEAVY METAL,3120,1XxUDJp9zsjd6tBSvE3la4
2021-02-19 12:16,Paris Texas,HEAVY METAL,0,1XxUDJp9zsjd6tBSvE3la4
2021-02-19 12:17,Alexander 23,Come Here and Leave Me Alone,3170,0NDx2QYoEdgH9HTn5yfXeA
2021-02-19 12:18,Still Woozy,Rocky,114100,7zjEyeBsaw9gV0jofJLfOM
2021-02-19 12:19,THE BLSSM,HARDCORE HAPPY,19480,3crc8YzKF41WtRIz1HUmC5
2021-02-19 12:20,AJR,Way Less Sad,73290,4jbtL4tjkqghUvJknUqU1s
2021-02-19 12:20,CJ,Goin’ UP,4040,3iltRlox3jEeSKuqdW88EK
2021-02-19 12:21,Clinton Kane,CHICKEN TENDIES,1990,0awuNCj9gwJEM0seER22DW
2021-02-19 12:21,Luis Fonsi,Vacío,41950,7AyqV5BUCHLS2yGgddeSyc
2021-02-19 12:21,Tash Sultana,Blame It On Society,31780,4QNg7ihSIZW1P3yzbF2ZNO
2021-02-19 12:22,Marshmello,Lavandia,9400,2aLaWfLeSzWrTLdLeVQ6zQ
2021-02-19 12:22,Cash Cash,Too Late (feat. Wiz Khalifa & Lukas Graham),19010,6Q0cy1jCa8EpvT6hd9rrs9
2021-02-19 12:22,Syence,a little bit bored (feat. ruuth),5340,1qD8IFhhATn4f02ncWKZRE
2021-02-19 12:22,YAS,TUCKITIN,10650,6fR2c0tL7jGNIFpMIXRrGZ
2021-02-19 12:22,PRETTYMUCH,Lonely,17170,6pmNoWKk0r6zfIjWneJRxR
2021-02-19 12:23,Lostboycrow,Oceans and Roads,16690,6qkgBrtrJDc4npSVKnvcH1
2021-02-19 12:23,Dua Lipa,Not My Problem (feat. JID),15600,69GVTnxGmUlF2ymLPL2CEp
2021-02-19 12:23,Tainy,Sunbathe,27160,6tPX67OuLWJc8XOH4dkDNE
2021-02-19 12:23,slowthai,CANCELLED (feat. Skepta),60,70He9Bb1JohHQXq4XAavQD
2021-02-19 12:24,Seeb,Last Dance,57970,3dmqIB2Qxe2XZobw9gXxJ6
2021-02-19 12:25,Vanic,Too Soon (feat. Maty Noyes),8790,4lEQGE5sVAnx7sbDANs2Fu
2021-02-19 12:25,Cheat Codes,Stay (Blinkie Remix),8770,0HQlgAyTXnZ9TJU7SA4xj6
2021-02-19 12:25,Syn Cole,Sway,2430,2ajUl8lBLAXOXNpG4NEPMz
2021-02-19 12:25,renforshort,"fuck, i luv my friends",9790,4hk4plGoAmg3naYTq8EUul
